survived,sex,age,class,fare,adult_minor,dataset,age_was_imputed,passenger_crew
False,male,38.0,Band,,Adult,Lusitania,False,Crew
False,male,37.0,Band,,Adult,Lusitania,False,Crew
True,male,30.0,Band,,Adult,Lusitania,False,Crew
True,male,25.0,Band,,Adult,Lusitania,False,Crew
True,male,27.0,Band,,Adult,Lusitania,False,Crew
False,male,48.0,Deck,,Adult,Lusitania,False,Crew
False,male,32.0,Deck,,Adult,Lusitania,False,Crew
True,male,32.0,Deck,,Adult,Lusitania,False,Crew
True,male,24.0,Deck,,Adult,Lusitania,False,Crew
True,male,19.0,Deck,,Adult,Lusitania,False,Crew
False,male,57.0,Deck,,Adult,Lusitania,False,Crew
False,male,50.0,Deck,,Adult,Lusitania,False,Crew
True,male,32.0,Deck,,Adult,Lusitania,False,Crew
True,male,32.0,Deck,,Adult,Lusitania,False,Crew
False,male,32.0,Deck,,Adult,Lusitania,False,Crew
True,male,32.0,Deck,,Adult,Lusitania,False,Crew
True,male,32.0,Deck,,Adult,Lusitania,False,Crew
True,male,32.0,Deck,,Adult,Lusitania,False,Crew
False,male,32.0,Deck,,Adult,Lusitania,False,Crew
True,male,32.0,Deck,,Adult,Lusitania,False,Crew
False,male,32.0,Deck,,Adult,Lusitania,False,Crew
True,male,32.0,Deck,,Adult,Lusitania,False,Crew
False,male,32.0,Deck,,Adult,Lusitania,False,Crew
False,male,25.0,Deck,,Adult,Lusitania,False,Crew
True,male,32.0,Deck,,Adult,Lusitania,False,Crew
True,male,56.0,Deck,,Adult,Lusitania,False,Crew
False,male,32.0,Deck,,Adult,Lusitania,False,Crew
True,male,41.0,Deck,,Adult,Lusitania,False,Crew
True,male,32.0,Deck,,Adult,Lusitania,False,Crew
False,male,32.0,Deck,,Adult,Lusitania,False,Crew
True,male,32.0,Deck,,Adult,Lusitania,False,Crew
False,male,32.0,Deck,,Adult,Lusitania,False,Crew
True,male,19.0,Deck,,Adult,Lusitania,False,Crew
True,male,32.0,Deck,,Adult,Lusitania,False,Crew
True,male,33.0,Deck,,Adult,Lusitania,False,Crew
False,male,32.0,Deck,,Adult,Lusitania,False,Crew
True,male,32.0,Deck,,Adult,Lusitania,False,Crew
False,male,50.0,Deck,,Adult,Lusitania,False,Crew
True,male,29.0,Deck,,Adult,Lusitania,False,Crew
True,male,32.0,Deck,,Adult,Lusitania,False,Crew
False,male,32.0,Deck,,Adult,Lusitania,False,Crew
False,male,38.0,Deck,,Adult,Lusitania,False,Crew
False,male,32.0,Deck,,Adult,Lusitania,False,Crew
False,male,32.0,Deck,,Adult,Lusitania,False,Crew
False,male,32.0,Deck,,Adult,Lusitania,False,Crew
True,male,32.0,Deck,,Adult,Lusitania,False,Crew
True,male,18.0,Deck,,Adult,Lusitania,False,Crew
True,male,20.0,Deck,,Adult,Lusitania,False,Crew
True,male,21.0,Deck,,Adult,Lusitania,False,Crew
True,male,32.0,Deck,,Adult,Lusitania,False,Crew
False,male,32.0,Deck,,Adult,Lusitania,False,Crew
True,male,26.0,Deck,,Adult,Lusitania,False,Crew
False,male,32.0,Deck,,Adult,Lusitania,False,Crew
True,male,32.0,Deck,,Adult,Lusitania,False,Crew
False,male,17.0,Deck,,Minor,Lusitania,False,Crew
False,male,33.0,Deck,,Adult,Lusitania,False,Crew
False,male,32.0,Deck,,Adult,Lusitania,False,Crew
False,male,27.0,Deck,,Adult,Lusitania,False,Crew
True,male,25.0,Deck,,Adult,Lusitania,False,Crew
True,male,32.0,Deck,,Adult,Lusitania,False,Crew
False,male,32.0,Deck,,Adult,Lusitania,False,Crew
True,male,32.0,Deck,,Adult,Lusitania,False,Crew
False,male,32.0,Deck,,Adult,Lusitania,False,Crew
True,male,24.0,Deck,,Adult,Lusitania,False,Crew
True,male,32.0,Deck,,Adult,Lusitania,False,Crew
False,male,32.0,Deck,,Adult,Lusitania,False,Crew
False,male,32.0,Deck,,Adult,Lusitania,False,Crew
False,male,32.0,Deck,,Adult,Lusitania,False,Crew
True,male,32.0,Deck,,Adult,Lusitania,False,Crew
True,male,32.0,Deck,,Adult,Lusitania,False,Crew
True,male,58.0,Deck,,Adult,Lusitania,False,Crew
True,male,32.0,Deck,,Adult,Lusitania,False,Crew
False,male,32.0,Deck,,Adult,Lusitania,False,Crew
False,male,32.0,Engineering,,Adult,Lusitania,False,Crew
False,male,32.0,Engineering,,Adult,Lusitania,False,Crew
False,male,18.0,Engineering,,Adult,Lusitania,False,Crew
False,male,26.0,Engineering,,Adult,Lusitania,False,Crew
