survived,sex,age,class,fare,adult_minor,dataset,age_was_imputed,sibsp,parch,embarked
False,male,22.0,Third,7.25,N/A,Titanic,False,1,0,S
True,female,38.0,First,71.2833,N/A,Titanic,False,1,0,C
True,female,26.0,Third,7.925,N/A,Titanic,False,0,0,S
True,female,35.0,First,53.1,N/A,Titanic,False,1,0,S
False,male,35.0,Third,8.05,N/A,Titanic,False,0,0,S
False,male,25.0,Third,8.4583,N/A,Titanic,False,0,0,Q
False,male,54.0,First,51.8625,N/A,Titanic,False,0,0,S
False,male,2.0,Third,21.075,N/A,Titanic,False,3,1,S
True,female,27.0,Third,11.1333,N/A,Titanic,False,0,2,S
True,female,14.0,Second,30.0708,N/A,Titanic,False,1,0,C
True,female,4.0,Third,16.7,N/A,Titanic,False,1,1,S
True,female,58.0,First,26.55,N/A,Titanic,False,0,0,S
False,male,20.0,Third,8.05,N/A,Titanic,False,0,0,S
False,male,39.0,Third,31.275,N/A,Titanic,False,1,5,S
False,female,14.0,Third,7.8542,N/A,Titanic,False,0,0,S
True,female,55.0,Second,16.0,N/A,Titanic,False,0,0,S
False,male,2.0,Third,29.125,N/A,Titanic,False,4,1,Q
True,male,30.0,Second,13.0,N/A,Titanic,False,0,0,S
False,female,31.0,Third,18.0,N/A,Titanic,False,1,0,S
True,female,21.5,Third,7.225,N/A,Titanic,False,0,0,C
False,male,35.0,Second,26.0,N/A,Titanic,False,0,0,S
True,male,34.0,Second,13.0,N/A,Titanic,False,0,0,S
True,female,15.0,Third,8.0292,N/A,Titanic,False,0,0,Q
True,male,28.0,First,35.5,N/A,Titanic,False,0,0,S
False,female,8.0,Third,21.075,N/A,Titanic,False,3,1,S
True,female,38.0,Third,31.3875,N/A,Titanic,False,1,5,S
False,male,25.0,Third,7.225,N/A,Titanic,False,0,0,C
False,male,19.0,First,263.0,N/A,Titanic,False,3,2,S
True,female,21.5,Third,7.8792,N/A,Titanic,False,0,0,Q
False,male,25.0,Third,7.8958,N/A,Titanic,False,0,0,S
False,male,40.0,First,27.7208,N/A,Titanic,False,0,0,C
True,female,35.0,First,146.5208,N/A,Titanic,False,1,0,C
True,female,21.5,Third,7.75,N/A,Titanic,False,0,0,Q
False,male,66.0,Second,10.5,N/A,Titanic,False,0,0,S
False,male,28.0,First,82.1708,N/A,Titanic,False,1,0,C
False,male,42.0,First,52.0,N/A,Titanic,False,1,0,S
True,male,25.0,Third,7.2292,N/A,Titanic,False,0,0,C
False,male,21.0,Third,8.05,N/A,Titanic,False,0,0,S
False,female,18.0,Third,18.0,N/A,Titanic,False,2,0,S
True,female,14.0,Third,11.2417,N/A,Titanic,False,1,0,C
False,female,40.0,Third,9.475,N/A,Titanic,False,1,0,S
False,female,27.0,Second,21.0,N/A,Titanic,False,1,0,S
False,male,25.0,Third,7.8958,N/A,Titanic,False,0,0,C
